Rank in 2020,Rank in 2019,Rank in 2018,3 year average rank,School name,Country,Audit year,Salary today (US$),Weighted salary (US$),Salary percentage increase,Value for money rank,Career progress rank,Aims achieved (%),Careers service rank,Employed at three months (%),Alumni recommend rank,Female faculty (%),Female students (%),Women on board (%),International faculty (%),International students (%),International board (%),International mobility rank,International course experience rank,Languages,Faculty with doctorates (%),FT research rank,CSR rank,,Value statement,No. of words,Clear,Realistic,Shorter,Easy to communicate,Easy to memorize,Easy to be explained,Focused,Unique,Decision Making guidance,Challenging,Mission Statements,,Customers,Products and Services,Markets,Technology,"Survival,  growth,  and profitability",Philosophy,Self-concept,Concern for public image,Concern for employees,Broad in scope,Less than 100 words in length,Less than 250 words in length,Inspiring,Socially responsible,Environmentally responsible,Reconciliatory,Enduring,Core values,No. of words,web source,
1,2,5,3,Harvard Business School,US,2018,"208,023","210,110",110,78,8,91,18,88 (100),1,29,43,49,38,37,18,50,89,0,90,2,37,,"Our vision is to be the leading centre for research,  innovation and impact in the area of corporate governance globally.",19,Y,Y,Y,N,Y,Y,Y,N,Y,Y,to educate leaders who make a difference in the world,10,N,Y,N,N,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,"Respect,  Honesty,  Accountability",3,https://www.hbs.edu/about/Pages/mission.aspx,
2,4,3,3,University of Pennsylvania: Wharton,US,2018,"217,141","211,543",107,92,17,90,21,94 (95),6,25,46,21,39,32,47,42,50,0,100,1,58,,To be your best-in-class education partner for transformational learning that prepares today’s global business leaders and organizations for greater impact and long-term success.,23,Y,Y,N,Y,N,N,Y,N,Y,Y,To be your best-in-class education partner for transformational learning that prepares today’s global business leaders and organizations for greater impact and long-term success.,23,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,"Tradition,  teamwork and collaboration,   professionalism,  excellence,  integrity,  and diversity ",9,https://executiveeducation.wharton.upenn.edu/about-wharton/,
3,1,1,2,Stanford Graduate School of Business,US,2015,"225,589","222,625",117,69,1,90,31,88 (99),2,23,47,31,37,43,30,45,46,0,86,10,67,,We envision a world where all learners are prepared to thrive in a dynamic future.,15,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,"to create ideas that deepen and advance our understanding of management and with those ideas to develop innovative,  principled,  and insightful leaders who change the world.",26,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,"integrity,  diversity,  respect,  freedom of inquiry and expression,  tenacity and optimism.",11,https://www.gsb.stanford.edu/experience/about,
4,3,2,3,Insead,France / Singapore,2020,"182,606","181,277",101,8,27,90,34,84 (97),4,20,34,38,93,96,88,5,2,2,98,18,6,,"A more peaceful society,  prosperous world and sustainable future. ",9,Y,Y,Y,Y,Y,Y,N,N,N,N,"We bring together people,  cultures and ideas to develop responsible leaders who transform business and society",16,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,"Diversity,  Independence,  Rigour and relevance,  Closeness,  Entrepreneurial spirit",8,https://www.insead.edu/about/who-we-are,
5,5,8,6,Ceibs,China,2019,"184,731","185,103",187,39,11,87,59,94 (100),34,27,40,36,63,34,57,36,9,1,100,75,27,,"To become the most respected international business school by linking East and West in teaching,  research,  and business practice and by promoting China's social and economic development through high-impact knowledge creation and dissemination.",33,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,"To educate responsible leaders versed in ""China Depth,  Global Breadth"".",9,N,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,Y,"Conscientiousness,  Innovation and Excellence.",4,"https://www.ceibs.edu/introduction-ceibs#:~:text=Vision%20and%20Mission&text=The%20CEIBS%20Vision%3A%20To%20become, impact%20knowledge%20creation%20and%20dissemination.",
6,8,9,8,MIT: Sloan,US,2019,"195,300","197,177",119,84,23,91,46,94 (100),3,24,41,21,43,53,48,46,45,0,100,8,25,,,0,,,,,,,,,,,"To develop principled,  innovative leaders who improve the world and to generate ideas that advance management practice.",17,N,Y,N,N,N,Y,Y,N,N,N,Y,Y,Y,N,N,N,Y,"Collaboration,  a deep commitment to supporting others,  striving for impact",10,"Link for mission: https://mitsloan.mit.edu/about/why-mit-sloan#:~:text=The%20mission%20of%20the%20MIT, ideas%20that%20advance%20management%20practice. Link for core valuses: https://mitsloan.mit.edu/programs/mba/putting-sloan-values-practice#:~:text=%22Collaboration%2C%20a%20deep%20commitment%20to, values%20our%20Sloan%20community%20cherishes.%22",
7,6,4,6,London Business School,UK,2020,"171,518","171,492",105,96,22,90,37,92 (99),5,27,38,45,84,94,76,9,8,0,99,11,13,,To have a profound impact on the way the world does business.,12,Y,Y,Y,Y,Y,Y,Y,N,N,N,,0,,,,,,,,,,,,,,,,,,,0,Vision Link: https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/693167/London_Business_School.pdf ,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/693167/London_Business_School.pdf
8,9,7,8,Columbia Business School,US,2019,"203,147","202,238",115,86,25,91,26,90 (93),7,21,38,17,54,53,35,48,66,0,95,5,49,,Developing ideas and leaders that transform the world—from the very center of business.,13,Y,Y,Y,Y,Y,Y,Y,N,N,N,"Our mission is twofold: we are committed to educating and developing leaders and builders of enterprises who create value for their stakeholders and society at large; we accomplish this through our MBA,  MS,  PhD,  and Executive Education programs. We are equally committed to developing new scholars and teachers,  and to creating and disseminating pathbreaking knowledge,  concepts,  and tools which advance the understanding and practice of management; we accomplish this through our faculty research and PhD programs.",76,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,"To achieve our vision of developing innovative ideas and inspiring leaders that transform the world,  the members of CBS strive to build and sustain a welcoming and intellectual community that values and respects individuals’ different and shared identities and perspectives.",40,https://www8.gsb.columbia.edu/about-us/mission-statement,
9,19,21,16,HEC Paris,France,2019,"164,515","164,529",133,11,18,87,87,92 (93),18,20,31,42,70,95,83,7,15,2,100,21,42,,,0,,,,,,,,,,,"At HEC Paris,  we have always embraced the idea that you must “Learn to Dare” in order to achieve. Our faculty engages in cutting-edge research into the management,  role and impact of organizations and markets. By daring to challenge orthodoxy,  our scholars examine the responsibility of business in society and for society. ",52,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,"Excellence,  diversity and community.",4,https://www.hec.edu/en/overview/who-we-are/mission-values,
10,7,6,8,University of Chicago: Booth,US,2017,"197,089","191,679",123,82,52,91,7,95 (99),9,18,40,15,32,42,18,43,87,0,96,3,39,,,0,,,,,,,,,,,"At Booth,  our mission is to create knowledge with enduring impact,  and influence and educate current and future leaders. Leaders like you.

",22,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,,0,"https://www.chicagobooth.edu/why-booth#:~:text=At%20Booth%2C%20our%20mission%20is, talents%20into%20a%20meaningful%20impact.",
11,14,12,12,Northwestern University: Kellogg,US,2019,"185,365","186,438",109,98,35,91,8,95 (100),8,25,43,43,54,42,21,57,38,0,100,24,35,,"To educate,  equip and inspire brave leaders who build strong organizations and wisely leverage the power of markets to create lasting value.


",22,Y,Y,Y,Y,N,N,Y,N,Y,Y,"Northwestern is committed to excellent teaching,  innovative research and the personal and intellectual growth of its students in a diverse academic community.",22,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,,0,https://www.northwestern.edu/about/,
12,10,10,11,University of California at Berkeley: Haas,US,2017,"189,207","193,630",110,75,55,91,12,91 (99),10,22,37,37,55,43,23,54,61,0,100,16,81,,,0,,,,,,,,,,,"Our mission is to help extraordinary people achieve great things. At Haas,  we live our distinctive culture out loud by embracing our four Defining Leadership Principles: Question the Status Quo,  Confidence Without Attitude,  Students Always,  and Beyond Yourself.

",38,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,0,"https://haas.berkeley.edu/about/#:~:text=Our%20mission%20is%20to%20help, Students%20Always%2C%20and%20Beyond%20Yourself.",
13,12,11,12,Iese Business School,Spain,2019,"150,871","151,347",119,99,9,89,50,94 (90),17,29,31,30,71,85,93,14,4,1,100,52,1,,"We aim to be to be the top business school in the world for purpose,  inspiring leaders for whom everybody matters. By accompanying men and women on their journeys of lifelong learning,  we bring a deeper meaning to doing business. We do this through global business programs and thought leadership based on relevant research.",54,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,"We develop leaders who strive to have a deep,  positive and lasting impact on people,  companies and society through professional excellence,  integrity and spirit of service.",26,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,"Core values of IESE include integrity,  a spirit of service,  and professional excellence – values that are recognized and cherished universally. We endeavor to instill a sense of responsibility in all who have been entrusted with leadership abilities,  helping them see that they’ve received those talents not for themselves,  but to be shared with others.",55,https://www.iese.edu/about/mission-values/,
14,11,15,13,Yale School of Management,US,2018,"180,097","178,829",128,88,49,91,35,91 (99),12,27,42,24,46,44,40,60,23,0,100,36,5,,,0,,,,,,,,,,,The mission of the Yale School of Management is to educate leaders for business and society.,16,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,N,N,"Yale core values comprise “commitment to common good,  diversity,  compassion,  and growth and learning.” These are the principles that have been guiding this institution for more than a century. The institution uses its core values to maintain a progressive and futuristic culture",42,https://som.yale.edu/mission,
15,17,18,17,National University of Singapore Business School,Singapore,2016,"167,948","167,070",148,24,45,89,79,94 (95),35,27,37,29,62,90,29,18,14,0,89,41,57,,"To be the leading business school in Asia,  globally recognised for excellence in education and research",16,Y,Y,Y,Y,Y,Y,N,N,N,Y,To advance knowledge and develop leaders so as to serve business and society,13,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,N,N,"Excellence, Care, Innovation, IntegrityTeamwork",4,https://bschool.nus.edu.sg/about-us/about-nus-business-school/vision-mission/,
16,19,19,18,Duke University: Fuqua,US,2017,"174,100","174,070",123,94,53,90,22,95 (98),11,24,43,22,42,39,57,58,76,0,96,4,50,,,0,,,,,,,,,,,Duke University's Fuqua School of Business attracts and nurtures a new kind of leader who has the power to bring out the strength in others and move teams forward toward a common purpose. Our community is made up of students and faculty from around the world who thrive in an environment with differing viewpoints.,53,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,0,https://www.fuqua.duke.edu/about,
16,15,16,16,Dartmouth College: Tuck,US,2018,"178,600","177,819",112,95,42,91,17,93 (100),15,25,42,32,38,38,35,55,24,0,98,12,56,,"Tuck will set the standard for excellence in creating,  teaching,  and applying life-changing business knowledge in a personal,  immersive environment based in Hanover and extending around the world.",28,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,"Tuck develops wise,  decisive leaders who better the world through business.
WISE reflects the functional expertise at the heart of strategic thinking and management,  the analytic skills used to develop and defend points of view,  and the empathy to understand and work effectively with others.
DECISIVE means making the right decisions,  by thoughtfully defining,  analyzing,  and solving problems and seizing opportunities,  and by confidently understanding when and how to take risks for the better.
LEADERS have the ability to craft a compelling vision for the future—including whether,  why,  when,  and how to change—and to guide execution of the vision with and through other people.
By developing such leaders,  bold decisions can be made to substantially improve business performance and the world we live in.",120,Y,Y,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,"PERSONAL,  CONNECTED,  and TRANSFORMATIVE.",4,https://www.tuck.dartmouth.edu/about/mission-vision-strategy,
18,23,32,24,University of Virginia: Darden,US,2019,"173,046","170,240",128,76,64,90,10,96 (99),21,29,40,25,28,33,23,79,31,0,95,40,2,,,0,,,,,,,,,,,The Darden School improves the world by inspiring responsible leaders through unparalleled transformational learning experiences. Values and principles critical to achieving excellence are: Innovative and rigorous education that develops discerning judgment and the ability to act decisively.,37,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,"Values and principles critical to achieving excellence are:

Innovative and rigorous education that develops discerning judgment and the ability to act decisively
Insightful research that advances knowledge and impacts practice
Inclusive community,  united by honor,  that enables its global and diverse members to collaborate and excel
Enduring relationships that support individual and organizational growth",50,https://www.darden.virginia.edu/about/why-darden/mission,
19,16,13,16,University of Cambridge: Judge,UK,2017,"164,110","162,662",95,6,15,90,49,84 (91),36,20,35,50,75,94,33,12,58,0,97,51,20,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,https://www.jbs.cam.ac.uk/,
19,18,14,17,HKUST Business School,China,2016,"158,279","157,025",113,37,10,88,86,91 (88),41,30,37,20,50,64,57,13,10,0,99,37,71,,,137,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,"A leader in business education,  the HKUST Business School has mentored and educated students who have gone on to achieve successful careers as world-class entrepreneurs,  business executives,  scholars and community leaders. The School has also produced high quality research findings which provide new knowledge and contribute to real life practice. Our achievements are guided by the School's mission in which we strive to Advance global business knowledge
Develop business leaders in Asia for the world
Contribute to the economic and social advancement of the region
We believe that setting new standards for international business education and research is central to furthering our position as the World Class in Asia. Our faculty,  students and alumni cherish the following core values. These values are reflected in the attitudes and aspirations of our people,  and help set the School apart.",137,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,0,https://www.bm.ust.hk/en-us/the-school/mission,
21,13,27,20,University of Oxford: Saïd,UK,2018,"161,324","156,739",103,14,20,89,85,92 (85),31,21,44,39,66,97,77,15,77,0,100,54,9,,,0,,,,,,,,,,,"We believe in developing business leaders who lead with purpose. This involves both a high level of personal integrity,  which we articulate in a set of core values that we aspire to live up to. Beyond that,  we speak of 'tackling world-scale problems.' This audacious goal represents our responsibility to attempt to address the issues that will determine the world in which future generations will live.",66,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,"In our work,  we are guided by a set of core values: Transformational,  Collaborative,  Respectful,  Purposeful ,  Entrepreneurial,  Excellence",19,https://www.sbs.ox.ac.uk/about-us/school,
22,25,23,23,New York University: Stern,US,2019,"166,064","166,392",122,97,46,91,13,94 (97),16,27,37,22,44,33,35,67,53,0,86,14,45,,,0,,,,,,,,,,,"our mission is to prepare individuals and organizations with the knowledge,  skills,  and tools needed to embed social and environmental sustainability into core business strategy. In doing so,  businesses reduce risk; create competitive advantage; develop innovative services,  products,  and processes; while improving financial performance and creating value for society. CSB implements its mission through activities in Education,  Research,  and Engagement.",60,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,"STERN VALUES: Excellence,  Unbound by Tradition,  IQ + EQ,  Radically Responsible,  Uncommonly Connected",13,https://www.stern.nyu.edu/experience-stern/about/departments-centers-initiatives/centers-of-research/center-sustainable-business/about-csb/mission-strategy,
23,27,17,22,Cornell University: Johnson,US,2017,"166,558","166,035",123,80,71,90,19,93 (98),26,24,35,19,53,39,43,78,47,0,94,22,61,,"We inspire leaders to build sustainable,  shared prosperity.",8,Y,Y,Y,Y,Y,N,N,N,N,Y,"Together,  our three schools transcend the traditional boundaries of business education and research to transform critical thinking into practical solutions. We collaborate within Cornell SC Johnson,  across Cornell,  and beyond to mobilize diverse expertise,  generate world-class knowledge,  inspire students,  and impact society in a positive manner.",46,N,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,"Excellence,  Inclusion,  Engagement,  Community,  impact",5,https://business.cornell.edu/about/mission-values/,
24,21,20,22,Esade Business School,Spain,2019,"141,761","140,686",117,79,21,88,76,91 (98),32,37,39,50,45,95,93,8,5,1,100,84,10,,,0,,,,,,,,,,,Education and research,3,N,Y,N,N,N,N,Y,N,N,Y,Y,Y,N,N,N,Y,N,"Integrity,  Sensitivity,  Diversity,  Contribute to the common good,  A fairer and more sustainable society.",14,https://www.esade.edu/en/about-us/what-is-ESADE/mission-values,
25,22,24,24,IMD Business School,Switzerland,2020,"160,389","156,421",67,19,12,91,25,83 (100),24,19,28,20,98,98,85,1,32,1,100,76,43,,"Challenging what is and inspiring what could be,  we develop leaders who transform organizations and contribute to so society.",19,Y,Y,N,Y,Y,Y,Y,Y,Y,N,"founded by business executives for business executives,  we are an independent academic institution with swiss roots and global reach. We strive to be the trusted learning partner for ambitous,  responsible,  purpose-driven individuals and organizations worldwide.",35,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,"pioneering,  open,  collaborative,  brave.",4,https://www.imd.org/why-imd/about-imd/,
25,26,25,25,UCLA Anderson School of Management,US,2017,"166,592","166,720",111,77,62,91,4,87 (98),22,26,33,17,37,31,10,72,95,0,100,7,91,,,0,,,,,,,,,,,to transform management thinking and prepare future leaders for evolving careers in ever-changing organizations and markets — and for lives of significance.,22,N,N,Y,N,Y,N,N,Y,N,Y,Y,Y,N,Y,N,N,Y,share success - think fearlessly - drive change.,8,https://www.anderson.ucla.edu/about/our-strategic-plan           https://www.anderson.ucla.edu/about/our-character,
27,33,35,32,Indian Institute of Management Bangalore,India,2020,"183,703","183,703",157,40,13,83,88,100 (100),19,19,23,36,6,0,18,68,39,0,100,98,86,,"To be a global,  renowned academic institution fosterng excellence in management,  innovation and entrepreneurship for business,  government and society.",19,Y,Y,N,Y,Y,Y,N,N,Y,Y,"1- Nurture innovative global business leaders,  entrepreneurs,  policy-makers and social change agents through holistic and transformative education.
2- Provide thought leadership that is contextually embedded and socially relevant and makes positive impact.
3- Pursue excellence in education and thought leadership simultaneously without making any tradeoffs.",43,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,"1- Uphold high standards of integrity and ethical behaviour
2- Build a culture of collaboration and trust
3- Respect the dignity of every individual and provide equal opportunity
4- Provide academic freedom to Faculty in pursuit of excellence
5- Celebrate excellence in education,  thought leadership,  policy and social impact in an inclusive and diverse way
6- Prioritize quality over quantity in both education and thought leadership",61,https://www.iimb.ac.in/director-message               https://www.iimb.ac.in/about-institute/mission                    https://www.iimb.ac.in/about-institute/values,
28,24,28,27,Indian School of Business,India,2015,"163,409","161,174",188,50,26,86,40,96 (99),27,16,39,5,16,2,62,84,92,0,98,82,95,,"To become an internationally top-ranked,  research-driven,  independent management institution that grooms future leaders for India and the world.",18,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,to groom tomorrow's leaders is grounded in the belief that leadership skills can be learned and that successful leaders must take charge of their own development and growth to achieve their true potential.,33,Y,N,N,N,N,Y,N,N,N,Y,Y,Y,Y,Y,N,Y,N,Passion for excellence - openess - caring organization - collaboration - intiative and innovation.,14,https://company.monsterindia.com/isbin/           https://www.isb.edu/en/careers/ValuesatISB.html,
29,31,29,30,SDA Bocconi School of Management,Italy,2019,"140,404","140,404",120,22,66,87,47,90 (93),43,39,33,44,39,74,78,16,16,1,99,45,40,,,0,,,,,,,,,,,"Designed for your world"" We drive professional and personal transformation to impact the future of individuals,  organizations and society.
We empower people through learning experiences designed to meet their real needs.
We value research to create rigorous knowledge and develop innovative education programs.
We help to interpret and manage complexity in professional environments and in the global arena.",55,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,"Independence,  Critical thinking, 
Scientific rigor,  Imagination,  Entrepreneurship,  Responsibility,  Centrality of people,  Pluralism and global vision.",15,https://www.sdabocconi.it/en/about/mission-values,
30,28,26,28,University of Michigan: Ross,US,2019,"164,539","164,336",115,89,77,91,15,96 (93),14,29,45,11,32,32,6,71,70,0,92,25,44,,,0,,,,,,,,,,,"committed to building a better world through our powerful ideas,  purpose driven leaders,  and positive impact,  we empower business leaders to make a positive difference in the world.",28,N,N,N,N,N,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,"Connect and collaborate,  learn and grow,  do great things,  be an owner,  be inclusive.",14,https://michiganross.umich.edu/about/mission-and-values,
31,35,40,35,Carnegie Mellon: Tepper,US,2019,"160,268","160,128",126,74,73,90,11,91 (100),23,27,33,22,41,45,9,80,62,0,94,27,12,,"To create value for business and society by providing intellectual leadership,  advancing the science and practice of management,  and developing ethical leaders to be the agents of change in a world driven by technology and innovation.",36,Y,Y,N,Y,N,Y,Y,N,Y,Y,"To serve our students by teaching them problem-solving,  leadership and teamwork skills,  as well as the value of a commitment to quality,  ethical behavior,  society and respect for one another",30,Y,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,"Integrity,  Inclusive,  Entrepreneurial,  Collaborative,  Rigorous,  Agile.",6,https://www.cmu.edu/tepper/why-tepper/strategic-plan/our-vision.html,
31,29,30,30,Georgetown University: McDonough,US,2020,"155,527","154,898",130,91,59,90,38,92 (94),39,29,30,15,44,39,25,65,27,0,100,29,32,,,0,,,,,,,,,,,to build global business knowledge and inspire ethical leaders to serve the common good,14,N,N,N,N,N,Y,N,Y,N,N,Y,Y,N,Y,N,N,N,"Our holistic approach to education,  the rigorous spirit of inquiry that makes our community and alumni a force for change in the world,  our commitment to social justice – all underly everything we do as an institution with a rich Catholic and Jesuit heritage.",44,https://msb.georgetown.edu/about/    https://www.georgetown.edu/who-we-are/,
33,34,42,36,Fudan University School of Management,China,2019,"131,041","131,041",203,33,6,88,42,94 (96),70,33,55,6,8,11,71,97,17,1,96,78,77,,"Motto Observance and Sincere Uprightness
Fudan upholds the spirit of patriotism,  solidarity,  service,  and sacrifice. Its motto is scientia et studium,  quaestio et cogitatio,  which means rich in knowledge and tenacious of purposes,  inquiring with earnestness and reflecting with self-practice. With a time-honored tradition of academic independence and free exploration,  the University is distinguished by its academic character: “rectification of righteousness,  illustration of virtue and indifference to honor and reward.”
Integration and Innovation
Fudan combines liberal education with cultivation of eminent talents through a proactive exploration of a new system that boasts of disciplinary intersection and integration and coordinates innovation and cultivation in scientific research.
Thoughts Focused on Education
Fudan is committed to the idea of cultivating talents with both moral integrity and outstanding capability and therefore serves its students with great care and emphasis on teaching. The University strives for a world-class undergraduate education and a postgraduate educational system with international influence,  both of which inject continual vitality into the hundred-year-old institution.
Pursuit of Excellence
Fudan aims to do first-rate education,  makes first-rate academic achievements,  and makes first-rate contributions to society. The University seeks to further improve its general management and endeavors to be one of the top universities in the world as soon as possible.",200,Y,Y,N,N,N,Y,Y,Y,Y,Y,"Fudan’s broad mission statement revolves around the development and cultivation of a world class science talent pool linking to social service,  cultural inheritance,  translational innovation and international exchange and has been and remains the most active supporter of the China’s major developmental research strategies.",44,N,Y,Y,N,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,,0,https://www.fudan.edu.cn/en/2019/0403/c374a95563/page.htm    https://www.fudan.edu.cn/en/StrateqicPlanning/list.htm,
34,39,58,44,University of Florida: Warrington,US,2018,"132,250","132,250",156,1,32,92,2,90 (100),85,27,36,13,29,19,0,95,94,0,94,33,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
35,30,22,29,"Nanyang Business School,  NTU Singapore",Singapore,2016,"136,365","136,365",119,30,83,84,64,96 (91),52,35,43,37,68,91,37,30,11,0,99,64,54,,,0,,,,,,,,,,,"A great global university founded on science and technology,  nurturing leaders and creating societal impact through interdisciplinary education and research.",20,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,,0,https://www.ntu.edu.sg/AboutNTU/CorporateInfo/Pages/visionmission.aspx,
36,46,59,47,University of Southern California: Marshall,US,2020,"155,086","158,577",121,93,60,90,39,95 (96),42,34,42,13,33,40,3,82,35,0,83,43,59,,"The USC Marshall School of Business will be recognized as a leader among world class business schools,  building on the unique opportunities that stem from our Los Angeles location on the Pacific Rim,  our interdisciplinary and impactful research,  the momentum generated by the University of Southern California,  and the unparalleled engagement of our Trojan family.",55,Y,Y,Y,Y,Y,Y,N,N,N,Y,"The mission of the school is to deepen the knowledge and understanding of the critical problems faced in business,  and to educate tomorrow's leaders who will address them.",28,N,Y,N,N,N,N,Y,N,N,N,Y,Y,Y,N,N,Y,Y,,0,https://www.marshall.usc.edu/about/strategic-plan,
